name	min_sharpe	mean_return	gap	meets_target
hybrid c1.005 s22 w0.6 cost5	0.6652	0.1593	0.0207	False
hybrid c1.005 s22 w0.6 cost10	0.6201	0.1500	0.0300	False
hybrid c1.005 s22 w0.7 cost5	0.6652	0.1593	0.0207	False
hybrid c1.005 s22 w0.7 cost10	0.6201	0.1500	0.0300	False
hybrid c1.010 s12 w0.3 cost5	0.7134	0.1657	0.0143	False
hybrid c1.010 s12 w0.3 cost10	0.6311	0.1498	0.0302	False
hybrid c1.010 s12 w0.4 cost5	0.7134	0.1657	0.0143	False
hybrid c1.010 s12 w0.4 cost10	0.6311	0.1498	0.0302	False
hybrid c1.010 s12 w0.5 cost5	0.7134	0.1657	0.0143	False
hybrid c1.010 s12 w0.5 cost10	0.6311	0.1498	0.0302	False
hybrid c1.010 s12 w0.6 cost5	0.7134	0.1657	0.0143	False
hybrid c1.010 s12 w0.6 cost10	0.6311	0.1498	0.0302	False
hybrid c1.010 s12 w0.7 cost5	0.7134	0.1657	0.0143	False
hybrid c1.010 s12 w0.7 cost10	0.6311	0.1498	0.0302	False
hybrid c1.010 s14 w0.3 cost5	0.7017	0.1709	0.0091	False
hybrid c1.010 s14 w0.3 cost10	0.6296	0.1566	0.0234	False
hybrid c1.010 s14 w0.4 cost5	0.7017	0.1709	0.0091	False
hybrid c1.010 s14 w0.4 cost10	0.6296	0.1566	0.0234	False
hybrid c1.010 s14 w0.5 cost5	0.7017	0.1709	0.0091	False
hybrid c1.010 s14 w0.5 cost10	0.6296	0.1566	0.0234	False
hybrid c1.010 s14 w0.6 cost5	0.7017	0.1709	0.0091	False
hybrid c1.010 s14 w0.6 cost10	0.6296	0.1566	0.0234	False
hybrid c1.010 s14 w0.7 cost5	0.7017	0.1709	0.0091	False
hybrid c1.010 s14 w0.7 cost10	0.6296	0.1566	0.0234	False
hybrid c1.010 s15 w0.3 cost5	0.7215	0.1714	0.0086	False
hybrid c1.010 s15 w0.3 cost10	0.6533	0.1580	0.0220	False
hybrid c1.010 s15 w0.4 cost5	0.7215	0.1714	0.0086	False
hybrid c1.010 s15 w0.4 cost10	0.6533	0.1580	0.0220	False
hybrid c1.010 s15 w0.5 cost5	0.7215	0.1714	0.0086	False
hybrid c1.010 s15 w0.5 cost10	0.6533	0.1580	0.0220	False
hybrid c1.010 s15 w0.6 cost5	0.7215	0.1714	0.0086	False
hybrid c1.010 s15 w0.6 cost10	0.6533	0.1580	0.0220	False
hybrid c1.010 s15 w0.7 cost5	0.7215	0.1714	0.0086	False
hybrid c1.010 s15 w0.7 cost10	0.6533	0.1580	0.0220	False
hybrid c1.010 s16 w0.3 cost5	0.7078	0.1713	0.0087	False
hybrid c1.010 s16 w0.3 cost10	0.6441	0.1586	0.0214	False
hybrid c1.010 s16 w0.4 cost5	0.7078	0.1713	0.0087	False
hybrid c1.010 s16 w0.4 cost10	0.6441	0.1586	0.0214	False
hybrid c1.010 s16 w0.5 cost5	0.7078	0.1713	0.0087	False
hybrid c1.010 s16 w0.5 cost10	0.6441	0.1586	0.0214	False
hybrid c1.010 s16 w0.6 cost5	0.7078	0.1713	0.0087	False
hybrid c1.010 s16 w0.6 cost10	0.6441	0.1586	0.0214	False
hybrid c1.010 s16 w0.7 cost5	0.7078	0.1713	0.0087	False
hybrid c1.010 s16 w0.7 cost10	0.6441	0.1586	0.0214	False
hybrid c1.010 s17 w0.3 cost5	0.7008	0.1684	0.0116	False
hybrid c1.010 s17 w0.3 cost10	0.6413	0.1564	0.0236	False
hybrid c1.010 s17 w0.4 cost5	0.7008	0.1684	0.0116	False
hybrid c1.010 s17 w0.4 cost10	0.6413	0.1564	0.0236	False
hybrid c1.010 s17 w0.5 cost5	0.7008	0.1684	0.0116	False
hybrid c1.010 s17 w0.5 cost10	0.6413	0.1564	0.0236	False
hybrid c1.010 s17 w0.6 cost5	0.7008	0.1684	0.0116	False
hybrid c1.010 s17 w0.6 cost10	0.6413	0.1564	0.0236	False
hybrid c1.010 s17 w0.7 cost5	0.7008	0.1684	0.0116	False
hybrid c1.010 s17 w0.7 cost10	0.6413	0.1564	0.0236	False
hybrid c1.010 s18 w0.3 cost5	0.6733	0.1665	0.0135	False
hybrid c1.010 s18 w0.3 cost10	0.6169	0.1551	0.0249	False
hybrid c1.010 s18 w0.4 cost5	0.6733	0.1665	0.0135	False
hybrid c1.010 s18 w0.4 cost10	0.6169	0.1551	0.0249	False
hybrid c1.010 s18 w0.5 cost5	0.6733	0.1665	0.0135	False
hybrid c1.010 s18 w0.5 cost10	0.6169	0.1551	0.0249	False
hybrid c1.010 s18 w0.6 cost5	0.6733	0.1665	0.0135	False
hybrid c1.010 s18 w0.6 cost10	0.6169	0.1551	0.0249	False
hybrid c1.010 s18 w0.7 cost5	0.6733	0.1665	0.0135	False
hybrid c1.010 s18 w0.7 cost10	0.6169	0.1551	0.0249	False
hybrid c1.010 s19 w0.3 cost5	0.6419	0.1638	0.0162	False
hybrid c1.010 s19 w0.3 cost10	0.5885	0.1530	0.0270	False
hybrid c1.010 s19 w0.4 cost5	0.6419	0.1638	0.0162	False
hybrid c1.010 s19 w0.4 cost10	0.5885	0.1530	0.0270	False
